type	hg38_options	mm10_options	selection	description	SY_1	SY_2	rmsk_flag	notes	Status
45S									
7SK RNA	"Gencode, Repeatmasker"	"Gencode, Repeatmasker"	Repeatmasker	subset of small nuclear RNA and part of the small nuclear ribonucleoprotein complex (snRNP)	mm10_7SKRNA.bed		Y		
chrM									
intron	Gencode	"Gencode, SY"	Gencode		mm10_intron.bed				Done
lincRNA	Gencode	"Gencode, SY"	SY	Generic long non-coding RNA type	mouse_gencode_linc.gtf.1		Y		
LINE SINE	Repeatmasker	Repeatmasker	Repeatmasker						
lncRNA	Gencode	"Gencode, SY"	Gencode	long non-coding RNA type with Intronic + Exonic Regions	mouse_gencode_linc.gtf.1		Y		
Low_complexity	Repeatmasker	"Repeatmasker, SY"	Repeatmasker		mm10_LC.bed		N		
LTR	Repeatmasker	"Repeatmasker, SY"	Repeatmasker		mm10_LTR.bed		N		
miRNA	Gencode	"Gencode, SY"	Gencode	Micro RNA : A small RNA (~22bp) that silences the expression of target mRNA	mouse_gencode_miRNA.gtf.1		Y		
mRNA									
Other	Repeatmasker	"Repeatmasker, SY"	Repeatmasker	other repeats	mm10_other.bed		N		
rRNA	Gencode	"Gencode, SY, Repeatmasker"	Repeatmasker	Ribosomal RNA	mouse_gencode_rRNA.gtf.1	BK000964.3_TPA_rRNA_repeats2.bed.txt	Y	what file to use	
rRNA_DNA	Repeatmasker	"Repeatmasker, SY"	Repeatmasker	Ribosomal DNA	mm10_DNA.bed	mm10_rRNA.bed	N	what file to use	
Satellite	Repeatmasker	"Repeatmasker, SY"	Repeatmasker		mm10_sat.bed		N		
scRNA	"Gencode, Repeatmasker"	"Gencode, SY, Repeatmasker"	Repeatmasker	Small cytoplasmic RNA; remove yRNA	mm10_scRNA.bed		Y		
Simple Repeats	Repeatmasker	"Repeatmasker, SY"	Repeatmasker		mm10_simple.bed				
sncRNA	Gencode	"Gencode, SY"	SY	small non-coading RNA	mm10_snc.gtf				
snoRNA	Gencode	"Gencode, SY"	Gencode	Small nucleolar RNAs : Small RNA molecules that are found in the cell nucleolus and are involved in the post-transcriptional modification of other RNAs	mouse_gencode_sno.gtf.1		Y		
snRNA	Gencode	"Gencode, SY, Repeatmasker"	Repeatmasker	small nuclear RNA : Small RNA molecules that are found in the cell nucleus and are involved in the processing of pre messenger RNAs	mouse_gencode_snRNA.gtf.1		Y		
srpRNA	Gencode	"Gencode, SY, Repeatmasker"	Repeatmasker	"signal recognition particle RNA; can be (7SL, 6S, or 4.5S RNA) 4.5S is coveredin scRNA"	mm10_srpRNA.bed		Y		
tRNA	Gencode	"Gencode, SY, Repeatmasker"	Repeatmasker	"transfer RNA, which acts as an adaptor molecule for translation of mRNA."	mm10_tRNA.bed		Y		
unknown repeats	Repeatmasker	"Repeatmasker, SY"	Repeatmasker		mm10_unknown.bed		N		
yRNA	Gencode	"Gencode, SY, Repeatmasker"	Repeatmasker	 subset of scRNA	mm10_YRNA.bed		Y		
